company,rating_web,review_text,processed_at,sentiment_label,sentiment_score,emotions,topics,pain_points,competitors,is_churn_risk
Orange,1,Tras el fallecimiento del titular en el mes de noviembre he reclamado la devolución de la permanencia. En primer lugar quiero destacar la falta de empata. Su contestación es que esa persona no es cli...,2026-01-10T21:29:11.271199,Negativo,-0.8,"Frustración,Decepción","Servicio al cliente,Resolución de problemas","Respuesta insatisfactoria,Lack of empathy",,True
Orange,1,"Una decada con ellos y solo puedo decir que es de lo peor que hay en España. Pagaba 80 euros por 3 lineas, 300mb de fibra y prime (ahora pago con otra compañia 38 por lo mismo) habia cortes mensua...",2026-01-10T21:29:12.176956,Negativo,-0.9,"Frustración,Decepción","Servicio al cliente,Corte de tiempo","Costes excesivos,Malas condiciones de servicio",,True
Orange,1,"Scam!They have taken away my mobile number that I’ve had for 15 years and deactivated my SIM, effectively stealing all my remaining credit, without any prior notice, because apparently if you don’t to...",2026-01-10T21:29:13.225578,Negativo,-1.0,"Frustración,Ira","Servicio al cliente,Deactivación de SIM,Credito en crédito","Negativa del servicio al cliente,Desconocimiento de la situación,Pérdida de confianza",,True
Orange,1,Unos estafadores . Llame antes a relación a cliente para comprar una tarjeta con número y me comentó para ir a una tienda .He ido a una tienda de Orange y me pedido 20€ para ina tarjeta engañándome qu...,2026-01-10T21:29:14.152689,Negativo,-1.0,"Frustración,Decepción","Servicio al cliente,Veracidad de la información",Diferencia entre la información proporcionada por el servicio y la realidad,,True
Orange,4,"Tienda calle Cámara de Aviles Marta…. Tienda calle Cámara de Aviles Marta María ( atención al cliente ) una profesional , agradable nada que objetar . Sin embargo una compañera con la camiseta naranja situada en el puesto de trabajo entrando a la derecha Justo detrás de Marta MUY desagradable al indicarme que estaba mala situada cuando estaba sentada en un taburete que ellos habían puesto no yo . Con estos empleados con estas formas hace que yo personalmente no vuelva más . Hay maneras y maneras de decirlo July 29, 2025 Advertisement Mar 31, 2025",2026-01-10T21:29:15.095531,Negativo,-0.8,"Frustración,Descontento","Servicio al cliente,Atención al cliente","Entrada de personal desagradable,Formas de comunicación insuficientes",,True
Orange,4,"bien. Yo la estoy usando y muy bien March 31, 2025 Updated Dec 9, 2024",2026-01-10T21:29:15.887911,Positivo,0.8,"Satisfacción,Contento","Usabilidad,Calidad del producto",,,False
Orange,4,"The service is actually great but they are trying to put themselves out of business. The service is actually great - fast 5G even in the Catalan hills and we had super fast fiber broadband. We had been with them a while so started looking around as we were paying 120 per month. They told us they could change it to €80 per month and we were happy with that. Then they sent us the contract but it said €100 per month. We called them and they said ""yes, don't worry about the contract, it will be €80 a month"". We said ""no"", we want a contract with the correct price on it and they said ""no, don't worry"". So we left them and switched to Vodafone. The day of the change over Orange called us and said, ""hey why are you changing, we can give it to you for €40 a month for a year"". Our Spanish wasn't good enough to explain the screw up, and we had already signed with Vodafone. It's like they are trying to put themselves out of business or something - we were happy to stay with them for €80 a month lol. EDIT: We switched to Vodafone and immediately regretted it! So unbelievably bad - the internet was unusable. We switched back to Orange because like I said - the product and service was really good, and they gave us a really good deal to come back :) October 16, 2024 Oct 9, 2024",2026-01-10T21:29:17.015196,Negativo,-0.8,"Frustración,Decepción","Servicio de telefonía,Errores en contratación,Competencia","Irregularidades en el precio del servicio,Malas comunicación,Pérdida de confianza","Vodafone,O2",True
Orange,4,"Es un buen operador, pero lo pagas. La velocidad y estabilidad de la fibra es impecable, nunca se me ha ido el servicio. La cobertura del móvil muy bien. Las pocas veces que he necesitado atención al cliente me han solucionado el problema, aunque es verdad que a veces son un poco pesados intentando venderte cosas para que tengas más permanencia. Te llaman de vez en cuando para “mejorar” tu oferta. Lo malo es que es uno de los operadores más caros. October 9, 2024 Sep 30, 2024",2026-01-10T21:29:18.366606,Negativo,-0.8,"Frustración,Decepción","Servicio de telefonía,Falta de fiber optica,Coveraje móvil,Atención al cliente","Problemas recurrentes con la fibra,Deficiencias en el servicio,Ineficacia del soporte al cliente,Intento excesivo de vender productos para mantenerse competitivos","Operador X,Operador Y",True
Orange,4,"Es buena alternativa. Es buena alternativa. Mucho mejor que Movistar y Vodafone , con diferencia Tengo fibra , cuatro lineas móviles y la tele de Orange y funciona todo bien. La atencion al cliente esta bien. El call-center se hace desde España y siempre intentan buscarte la solucion a tu consulta, y lo mejor, que no quieren venderte nada. Solo un pero, ahora los agentes hasta que no les dices que te han solucionado el problema no te dejan colgar. Eso molesta mucho. Puede que me solucionen el problema, pero puede que no este satisfecho. A ver si cambian eso. September 30, 2024 Advertisement Dec 9, 2023",2026-01-10T21:29:19.238150,Positivo,0.8,"Satisfacción,Contento","Servicio al cliente,Atención al cliente",,"Movistar,Vodafone",False
Orange,4,"Todo correcto. Llevo con ellos 2 años y no he tenido ningún problema. Tengo fibra 300 MB, 50 GB de datos en el móvil y llamadas ilimitadas. December 9, 2023 Nov 21, 2023",2026-01-10T21:29:20.039635,Positivo,0.8,"Satisfacción,Confiabilidad","Servicio al cliente,Coveraje de datos",,,False
Orange,4,"Una buena empresa en general. Mi experiencia ha sido buena en general. He tenido un problema, pero lo resolvieron cuando me trasladé a otra ciudad. November 21, 2023 May 27, 2023",2026-01-10T21:29:20.917711,Mixto,0.4,"Satisfacción,Frustración","Servicio al cliente,Resolución de problemas",Problemas recurrentes en el servicio actual,,False
Orange,4,"En general dan buen servicio de fibra + móvil. En general dan buen servicio de fibra óptica y de telefonía, aunque suspenden en permitir a veces que se filtren servicios de terceros no deseados, también los SMS de smishing entran a raudales (me parece que pasa lo mismo con todas las operadoras). May 27, 2023 Feb 16, 2023",2026-01-10T21:29:21.963711,Mixto,0.4,"Satisfacción,Frustración","Servicio de fibra,Permitir servicios de terceros,SMS de smishing","Filtrar servicios de terceros,Prevenir SMS de smishing",,False
Orange,4,"I received the best customer service…. I received the best customer service experience in their Porto Pi (Mallorca) branch. The lady was accommodating and keen to help. Well, I was done. January 15, 2023 Advertisement Jun 6, 2022",2026-01-10T21:29:22.792524,Positivo,0.9,"Satisfacción,Agradecimiento","Servicio al cliente,Experiencia de atención al cliente",,,False
Orange,4,"My personal phone is with orange Spain. \*edit\* My personal phone is with orange Spain. I bought a Sim card for mum with the sole purpose of using it in Switzerland so she can have service when she arrived. I was told by the people at Orange it would work, when it didn't, I called up to get the service working in Switzerland and was told for security purposes it was not able to be activated as it had to be used for a majority in Spain. This information was not relayed to me by the store. The operator Esteban Ríos (2410259) continued to tell me how it was my fault for not looking up that information myself. I asked to lodge a complaint and he was very condescending and argumentative. I wouldn't recommend this service for anyone travelling through non European union countries but will say my time in Spain with Orange was fine. Talked to Mauricio to try again as I couldn't find the security policy and he was much more helpful 5 stars for him. June 6, 2022 Feb 24, 2022",2026-01-10T21:29:23.761637,Negativo,-1.0,"Frustración,Ira","Servicio al cliente,Política de seguridad","Desconocimiento del servicio,Respuesta insatisfactoria del operador",,True
Orange,4,"Soy de las pocas afortunadas que le…. Soy de las pocas afortunadas que le tarta bien orange? me cobran mas barato que en otros sitios February 24, 2022 1 Dec 22, 2021",2026-01-10T21:29:24.925459,Mixto,-0.3,"Satisfacción,Frustración","Servicio al cliente,Precio,Calidad del producto","Costo excesivo de los productos en comparación con otros sitios,Respuesta insuficiente a las consultas relacionadas con el precio","Sitio X,Sitio Y",False
Orange,4,"Excelente servicio tanto nacional como…. Excelente servicio tanto nacional como internacional, recomiendo. El servicio es bastante bueno tanto en internet movil, como en todos los servicios para casa o trabajo December 22, 2021 Aug 24, 2021",2026-01-10T21:29:25.699450,Positivo,0.9,"Satisfacción,Contento","Servicio al cliente,Calidad del producto",,,False
Orange,4,"No consigo los contratos firmados por…. No consigo los contratos firmados por mi en orange en la tienda no me los dan, en 1´1470 diden qye no los tienen y mne cobran lo que les da la gana, que puedo hacer ademas de cabrearme? August 24, 2021 Advertisement Jun 9, 2020",2026-01-10T21:29:26.711650,Negativo,-0.85,"Frustración,Ira","Problemas de atención al cliente,Respuesta insuficiente a las solicitudes","Error en la gestión de los contratos,Malinterpretación del cliente",,True
Orange,4,"Buena relación calidad precio. No es la mejor compañía de telecomunicaciones, pero a mi juicio es la mas equilibrada entre las tarifas y lo que ofrece. Y digo que no es la mejor porque en ciertas zonas flojea la cobertura, pero en general funciona bien.La atención al cliente es de lo mejor.Te atienden generalmente desde Leon, y sus operadores suelen resolver de forma ágil los problemas.He estado con Jazztel, Euskaltel, Vodafone, Movistar...pero llevo ya 4 años en Orange y no he tenido demasiados problemas, algún cobro indebido pero resuelto tras reclamar..nada que no ocurra en otras compañías. June 9, 2020 Jun 4, 2020",2026-01-10T21:29:27.708009,Positivo,0.6,"Satisfacción,Contento","Relación con el precio,Coveraje,Atención al cliente",,"Jazztel,Euskaltel,Vodafone,Movistar",False
